nbhd_code,PM25_1998,PM25_1999,PM25_2000,PM25_2001,PM25_2002,PM25_2003,PM25_2004,PM25_2005,PM25_2006,PM25_2007,PM25_2008,PM25_2009,PM25_2010,PM25_2011,PM25_2012,PM25_2013,PM25_2014,PM25_2015,PMTREND
atlanta_010,18.86259542,16.59160305,14.86259542,13,15.59160305,13.86259542,14,15,14,14,9.106870229,9.86259542,10.59160305,11.59160305,9.86259542,9.86259542,9.591603053,10,-4.669132418
atlanta_085,19.55822551,17.14602588,15.02218115,13.53604436,16.02218115,14.02218115,14.14602588,15.22735675,14.53604436,14.53604436,9.948243993,10,11,12,10,10,10,10.14602588,-4.801909091
atlanta_096,18.9378882,16.56832298,14.56832298,13,15.56832298,13.9378882,14,15,14,14,9,9.568322981,10.56832298,11.56832298,10,9.937888199,9.568322981,10,-4.642777019
atlanta_135,19.9144385,17.26203209,15.19786096,13.70231729,16.19786096,14.26203209,14.32620321,15.68805704,14.70231729,14.70231729,9.702317291,10,10.93582888,11.93582888,10,9.935828877,9.935828877,10.32620321,-4.98715069
atlanta_115,19.51762115,17.0969163,15.10572687,13.41189427,15.96475771,14.10572687,14.23788546,15.23788546,14.41189427,14.41189427,9.420704846,10,10.85903084,11.85903084,10,10,9.859030837,10.10572687,-4.858567122
atlanta_086,20.26029963,17.55805243,15.3576779,14.08052434,16.3576779,14.3576779,14.38014981,15.38014981,14.83520599,14.90262172,9.902621723,10,11,11.917603,10.26779026,10.17790262,10,10.3576779,-5.084859096
atlanta_030,18.91616766,16.89221557,14.89221557,13.08383234,15.89221557,13.90419162,14,15.0239521,14.0239521,14.0239521,9.083832335,9.904191617,10.89221557,11.42814371,9.904191617,9.892215569,9.892215569,10,-4.707025578
atlanta_061,19.75020956,16.77703269,14.72673931,13.61022632,15.87342833,14.13998324,14.39731769,15.18357083,14.40737636,14.55993294,9.559932942,10.05029338,10.78373847,11.55993294,10.05364627,10.05029338,9.637049455,10.13998324,-4.862316039
atlanta_087,20.90598651,17.93128162,15.68128162,14.37900506,16.69983137,14.69983137,14.83389545,15.77360877,14.83389545,14.95615514,9.981450253,10.26011804,11.39755481,12.10708263,10.55227656,10.26011804,10.26011804,10.69983137,-5.218937137
atlanta_072,21.23202397,18.36451398,15.89414115,14.64647137,16.91411451,14.89414115,15.10486019,16.10486019,15.01997337,15.01997337,10.01997337,10.28728362,11.48202397,12.25965379,10.79327563,10.44507324,10.28728362,10.89414115,-5.348225071
