ID WHO city,Region,iso3,Country,City/Town,"PM10 Annual mean, ug/m3",Year,Number and type of monitoring stations (PM10),note on converted PM10,"PM2.5 Annual mean, ug/m3",Year,Number and type of monitoring stations (PM2.5),note on converted PM2.5,Temporal coverage,for air quality
84,Eur HI,AUT,Austria,SANKT VEIT AN DER GLAN,22,2013,"1 station, background, urban",measured data,16,2013,-,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
85,Eur HI,AUT,Austria,SCHWAZ,20,2013,"1 station, traffic, suburban",measured data,15,2013,-,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
86,Eur HI,AUT,Austria,SCHWECHAT,23,2013,"1 station, traffic, suburban",measured data,17,2013,-,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
87,Eur HI,AUT,Austria,SPITTAL AN DER DRAU,20,2013,"1 station, background, suburban",measured data,15,2013,-,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
88,Eur HI,AUT,Austria,STEYR,20,2013,"1 station, background, suburban",measured data,15,2013,"1 station, background, suburban",measured data,PM10: >75%; PM2.5:>75%,"European Environment Agency, Air quality e-reporting database"
89,Eur HI,AUT,Austria,STEYREGG,26,2013,"1 station, industrial, suburban",measured data,19,2013,-,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
90,Eur HI,AUT,Austria,STOCKERAU,23,2013,"1 station, traffic, suburban",measured data,17,2013,-,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
91,Eur HI,AUT,Austria,TRAISMAIER,22,2013,"1 station, background, rural-regional",measured data,16,2013,-,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
92,Eur HI,AUT,Austria,TULLN,22,2013,"1 station, background, suburban",measured data,16,2013,-,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
93,Eur HI,AUT,Austria,VILLACH,19,2013,"1 station, traffic, urban",measured data,14,2013,-,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
94,Eur HI,AUT,Austria,VöCKLABRUCK,21,2013,-,converted from PM2.5,15,2013,"1 station, background, suburban",measured data,PM10: NA; PM2.5:>75%,"European Environment Agency, Air quality e-reporting database"
95,Eur HI,AUT,Austria,WEIZ,26,2013,"1 station, traffic, suburban",measured data,19,2013,-,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
96,Eur HI,AUT,Austria,WELS,23,2013,"1 station, background, urban",measured data,18,2013,"1 station, background, urban",measured data,PM10: >75%; PM2.5:>75%,"European Environment Agency, Air quality e-reporting database"
97,Eur HI,AUT,Austria,WIEN,26,2013,"9 stations, traffic, urban",measured data,18,2013,"6 stations, traffic, urban",measured data,PM10: >75%; PM2.5:>75%,"European Environment Agency, Air quality e-reporting database"
98,Eur HI,AUT,Austria,WIENER NEUDORF,23,2013,"1 station, traffic, suburban",measured data,16,2013,"1 station, traffic, suburban",measured data,PM10: >75%; PM2.5:>75%,"European Environment Agency, Air quality e-reporting database"
99,Eur HI,AUT,Austria,WIENER NEUSTADT,18,2013,"1 station, background, suburban",measured data,13,2013,-,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
100,Eur HI,AUT,Austria,WOLFSBERG,26,2013,"1 station, traffic, urban",measured data,19,2013,"1 station, traffic, urban",measured data,PM10: >75%; PM2.5:>75%,"European Environment Agency, Air quality e-reporting database"
101,Eur HI,AUT,Austria,WöRGL,20,2013,"1 station, traffic, suburban",measured data,15,2013,-,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
102,Eur HI,AUT,Austria,ZELTWEG,21,2013,"1 station, background, suburban",measured data,16,2013,-,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
103,Emr HI,BHR,Bahrain,Hamad Town,318,2012,"1 station, 1 Residential urban station",measured data,66,2012,"1 station, 1 Residential urban station",measured data,PM10: NA; PM2.5:>75%,"Supreme Council of Environment, 2013."
104,Emr HI,BHR,Bahrain,Hidd,178,2012,"1 station, 1 Residential urban station",measured data,41,2012,"1 station, 1 Residential urban station",measured data,PM10: NA; PM2.5:>75%,"Supreme Council of Environment, 2013."
105,Emr HI,BHR,Bahrain,Ma'ameer,257,2012,"1 station, 1 Residential Industrial station (Mixed)",measured data,64,2012,"1 station, 1 Residential Industrial station (Mixed)",measured data,PM10: NA; PM2.5:>75%,"Supreme Council of Environment, 2013."
106,Emr HI,BHR,Bahrain,Nabih Saleh,244,2012,"1 station, 1 Urban background station",measured data,58,2012,"1 station, 1 Urban background station",measured data,PM10: NA; PM2.5:>75%,"Supreme Council of Environment, 2013."
