nbhd_code,DEM_all
bangalore_059,876.3338102
bangalore_096,878.3540329
bangalore_077,886.281902
bangalore_016,879.5676679
bangalore_093,887.6968949
bangalore_153,892.3551902
bangalore_072,895.8195553
bangalore_012,907.4044708
bangalore_040,899.1578578
bangalore_053,895.5657238
bangalore_190,891.1674402
bangalore_001,901.2274529
bangalore_191,906.2708193
bangalore_020,914.3716143
bangalore_028,902.0581996
bangalore_138,903.5456474
bangalore_060,892.9386848
bangalore_044,890.691177
bangalore_126,879.9731675
bangalore_019,887.1594957
bangalore_171,912.8136928
bangalore_123,903.0669489
bangalore_076,891.5025566
bangalore_003,893.4240999
bangalore_109,889.7908201
bangalore_089,899.5323641
bangalore_045,892.4474641
bangalore_165,915.9639584
bangalore_166,904.258511
bangalore_183,893.7232205
bangalore_139,889.8300257
bangalore_002,898.5499285
bangalore_047,887.8035178
bangalore_110,897.4846002
bangalore_116,905.2787966
bangalore_176,903.2383345
bangalore_119,894.6284761
bangalore_058,898.6486482
bangalore_081,891.3410871
bangalore_071,895.1600395
bangalore_024,899.7634531
bangalore_018,916.059811
bangalore_022,895.1521529
bangalore_006,909.5806185
bangalore_025,902.3351487
bangalore_088,907.6823411
bangalore_078,909.7761876
bangalore_143,923.0136855
bangalore_162,925.7672681
bangalore_160,913.7143804
bangalore_147,908.5474573
bangalore_084,906.4342563
bangalore_108,919.0357344
bangalore_056,931.6553398
bangalore_005,906.0917078
bangalore_186,894.2695382
bangalore_197,895.952493
bangalore_112,890.7598382
bangalore_013,911.3799304
bangalore_100,918.8537844
bangalore_050,901.8093976
bangalore_142,880.6249962
bangalore_195,918.3190297
bangalore_015,917.4515303
bangalore_187,907.0041936
bangalore_178,906.6253558
bangalore_063,898.1320694
bangalore_087,916.5020699
bangalore_192,910.5331812
bangalore_027,922.1213571
bangalore_070,898.9047588
bangalore_170,910.8381137
bangalore_177,900.3245058
bangalore_158,921.7525068
bangalore_041,906.3507693
bangalore_092,907.3888395
bangalore_030,902.3906913
bangalore_029,899.6245886
bangalore_023,881.3276253
bangalore_035,897.3445955
bangalore_174,901.3997948
bangalore_140,889.3538247
bangalore_031,913.8012205
bangalore_049,914.0153307
bangalore_185,929.6147757
bangalore_037,899.8778699
bangalore_054,908.8687557
bangalore_036,908.2370476
bangalore_095,924.9022286
bangalore_122,934.7771109
bangalore_007,936.0818988
bangalore_151,921.1591712
bangalore_086,928.5800904
bangalore_052,930.3296339
bangalore_085,920.4996337
bangalore_039,915.4429079
bangalore_154,920.9466449
bangalore_156,916.6030714
bangalore_146,916.1708548
bangalore_168,910.1631109
bangalore_021,908.5605891
bangalore_061,902.803643
bangalore_075,903.1266157
bangalore_161,907.5205975
bangalore_091,895.7425913
bangalore_129,918.1333261
bangalore_099,913.0032617
bangalore_094,904.3470249
bangalore_118,905.7978886
bangalore_064,889.3722667
bangalore_097,910.2653238
bangalore_157,920.0608114
bangalore_113,907.7082663
bangalore_132,907.4869542
bangalore_102,908.7191086
bangalore_135,896.2784335
bangalore_193,902.6880598
bangalore_180,896.6216688
bangalore_026,907.5099377
bangalore_107,902.886363
bangalore_051,915.5608709
bangalore_065,910.2408653
bangalore_124,909.4177401
bangalore_159,913.1124954
bangalore_148,908.5835541
bangalore_130,916.2380258
bangalore_043,920.0466798
bangalore_188,925.791254
bangalore_196,915.1911389
bangalore_082,908.8735697
bangalore_105,910.8059811
bangalore_034,910.2042568
bangalore_009,918.8790474
bangalore_114,918.1902045
bangalore_083,928.3442701
bangalore_167,894.088477
bangalore_121,909.9036876
bangalore_011,892.4445438
bangalore_067,829.0463418
bangalore_106,799.7008254
bangalore_042,882.3379972
bangalore_181,831.8829239
bangalore_068,881.8911154
bangalore_090,850.9196194
bangalore_111,874.6429566
bangalore_066,916.8343791
bangalore_149,909.9367262
bangalore_144,910.0046664
bangalore_033,897.0782355
bangalore_179,903.3914327
bangalore_115,889.3997593
bangalore_117,902.1405841
bangalore_136,889.7530876
bangalore_120,900.1268574
bangalore_125,904.7168012
bangalore_069,916.9477526
bangalore_079,910.6291359
bangalore_198,916.6583879
bangalore_133,922.9207144
bangalore_175,921.0990927
bangalore_145,896.0620105
bangalore_173,894.161082
bangalore_150,917.4474519
bangalore_169,904.3861573
bangalore_017,907.4315458
bangalore_004,888.5126504
bangalore_163,901.2553667
bangalore_164,902.1202296
bangalore_194,885.2619535
bangalore_103,871.2176407
bangalore_098,907.5732212
bangalore_057,895.1686053
bangalore_127,888.8958678
bangalore_131,865.1631987
bangalore_128,874.2680256
bangalore_134,842.7890223
bangalore_008,861.9836712
bangalore_189,875.6176538
bangalore_073,876.1211539
bangalore_062,860.1007419
bangalore_141,867.0520689
bangalore_155,888.6774848
bangalore_046,883.3535325
bangalore_104,869.7356176
bangalore_080,877.7469437
bangalore_010,877.6916956
bangalore_014,850.8372711
bangalore_048,855.9802826
bangalore_172,884.341773
bangalore_038,846.7341062
bangalore_055,873.352592
bangalore_101,892.8499674
bangalore_032,871.8606193
bangalore_074,854.4568614
bangalore_152,831.146762
bangalore_182,862.9959154
bangalore_137,824.0039895
copenhagen_007,23.26421477
copenhagen_006,16.10832619
copenhagen_005,9.084973714
copenhagen_008,19.15338587
copenhagen_003,14.85444491
copenhagen_002,7.859217022
copenhagen_001,7.719526018
copenhagen_009,3.687263571
copenhagen_004,6.08916281
copenhagen_010,2.487573688
berlin_012,41.40445727
berlin_004,51.10654356
berlin_011,47.1534372
berlin_006,43.56294613
berlin_010,49.40261264
berlin_003,50.25723448
berlin_007,52.17131425
berlin_002,42.06943195
berlin_005,41.46103543
berlin_001,50.32724378
berlin_008,44.13206759
berlin_009,39.20016154
amsterdam_041,0.44292758
amsterdam_039,2.649653456
amsterdam_045,2.032025376
amsterdam_046,4.132502177
amsterdam_044,4.66667773
amsterdam_061,2.969113497
amsterdam_047,6.320667162
amsterdam_055,4.406601287
amsterdam_051,4.692424099
amsterdam_052,3.704836273
amsterdam_053,5.19268919
amsterdam_021,6.533044162
amsterdam_054,5.672648382
amsterdam_022,6.345516114
amsterdam_019,5.624437916
amsterdam_020,5.694474413
amsterdam_018,5.616020533
amsterdam_031,4.565576398
amsterdam_030,6.861395482
amsterdam_029,5.123770939
amsterdam_043,4.185098376
amsterdam_042,3.2355972
amsterdam_038,3.284955947
amsterdam_034,3.1184088
amsterdam_026,4.273721191
amsterdam_033,2.345205351
amsterdam_032,2.400700025
amsterdam_024,4.968048335
amsterdam_023,5.137281419
amsterdam_025,5.267142751
amsterdam_028,4.562873413
amsterdam_027,5.83939908
amsterdam_015,4.232741573
amsterdam_017,4.499372553
amsterdam_016,4.719572495
amsterdam_014,5.66355778
amsterdam_013,4.587636673
amsterdam_012,4.839371972
amsterdam_011,2.531367606
amsterdam_089,3.105244723
amsterdam_083,2.085234053
